usage_count,destination_ip,hostname,timestamp,hop,hop_ip,rtt_ms,bandwidth_mbps
2,157.240.16.174,instagram.com,2025-04-15 10:54:40,1,172.29.144.1,0.307667,11200.000000
2,157.240.16.174,instagram.com,2025-04-15 10:54:40,2,10.7.0.5,3.185333,6222.222222
2,157.240.16.174,instagram.com,2025-04-15 10:54:40,3,172.16.4.4,11.427667,5226.666667
2,157.240.16.174,instagram.com,2025-04-15 10:54:40,4,14.139.98.1,8.183667,5600.000000
2,157.240.16.174,instagram.com,2025-04-15 10:54:40,5,10.117.81.253,4.574333,9022.222222
2,157.240.16.174,instagram.com,2025-04-15 10:54:40,6,10.154.8.137,15.944000,2613.333333
2,157.240.16.174,instagram.com,2025-04-15 10:54:40,7,10.255.239.170,28.128333,2706.666667
2,157.240.16.174,instagram.com,2025-04-15 10:54:40,8,10.152.7.38,17.122000,2706.666667
2,157.240.16.174,instagram.com,2025-04-15 10:54:40,9,157.240.66.204,22.276667,2271.111111
2,157.240.16.174,instagram.com,2025-04-15 10:54:40,10,129.134.50.252,21.462667,2613.333333
2,157.240.16.174,instagram.com,2025-04-15 10:54:40,11,157.240.58.185,19.417000,2520.000000
2,157.240.16.174,instagram.com,2025-04-15 10:54:40,12,129.134.92.130,43.435000,3733.333333
